modeldb_id,model_name,paper_id,authors,title,journal,year,doi,pubmedid,citation_count,modeldb_model_count,all_paper_ids
153280,Parvalbumin-positive basket cells differentiate among hippocampal pyramidal cells (Lee et al. 2014),154374,"Lee SH, Marchionni I, Bezaire M, Varga C, Danielson N, Lovett-Barron M, Losonczy A, Soltesz I",Parvalbumin-positive basket cells differentiate among hippocampal pyramidal cells.,Neuron,2014,10.1016/j.neuron.2014.03.034,,305,1,154374
7386,CA1 pyramidal neuron: conditional boosting of dendritic APs (Watanabe et al 2002),8736,"Watanabe S, Hoffman DA, Migliore M, Johnston D",Dendritic K+ channels contribute to spike-timing dependent long-term potentiation in hippocampal pyramidal neurons.,Proceedings of the National Academy of Sciences of the United States of America,2002,10.1073/pnas.122210599,,304,1,8736
2798,"Hopfield and Brody model (Hopfield, Brody 2000)",4656,"Hopfield JJ, Brody CD","What is a moment? ""Cortical"" sensory integration over a brief interval.",Proceedings of the National Academy of Sciences of the United States of America,2000,10.1073/pnas.250483697,,295,2,4655|4656
143604,Compartmentalization of GABAergic inhibition by dendritic spines (Chiu et al. 2013),144564,"Chiu CQ, Lur G, Morse TM, Carnevale NT, Ellis-Davies GC, Higley MJ",Compartmentalization of GABAergic inhibition by dendritic spines.,"Science (New York, N.Y.)",2013,10.1126/science.1234274,,294,1,144564
95870,"Rod photoreceptor (Barnes and Hille 1989, Publio et al. 2006, Kourennyi and Liu et al. 2004)",11059,"Barnes S, Hille B",Ionic channels of the inner segment of tiger salamander cone photoreceptors.,The Journal of general physiology,1989,10.1085/jgp.94.4.719,,293,2,11059|41597|64215|80965
83344,Pyramidal neuron coincidence detection tuned by dendritic branching pattern (Schaefer et al 2003),24607,"Schaefer AT, Larkum ME, Sakmann B, Roth A",Coincidence detection in pyramidal neurons is tuned by their dendritic branching pattern.,Journal of neurophysiology,2003,10.1152/jn.00046.2003,,290,1,24607
46839,Bursting and resonance in cerebellar granule cells (D'Angelo et al. 2001),3989,"D'Angelo E, Nieus T, Maffei A, Armano S, Rossi P, Taglietti V, Fontana A, Naldi G",Theta-frequency bursting and resonance in cerebellar granule cells: experimental evidence and modeling of a slow k+-dependent mechanism.,The Journal of neuroscience : the official journal of the Society for Neuroscience,2001,10.1523/JNEUROSCI.21-03-00759.2001,,287,1,3989
35358,"CA3 pyramidal cell: rhythmogenesis in a reduced Traub model (Pinsky, Rinzel 1994)",5225,"Pinsky PF, Rinzel J",Intrinsic and network rhythmogenesis in a reduced Traub model for CA3 neurons.,Journal of computational neuroscience,1994,10.1007/BF00962717,,280,1,5225|29029
17663,Thalamic reticular neurons: the role of Ca currents (Destexhe et al 1996),4896,"Destexhe A, Contreras D, Steriade M, Sejnowski TJ, Huguenard JR","In vivo, in vitro, and computational analysis of dendritic calcium currents in thalamic reticular neurons.",The Journal of neuroscience : the official journal of the Society for Neuroscience,1996,10.1523/JNEUROSCI.16-01-00169.1996,,277,1,4896
150239,MEC layer II stellate cell: Synaptic mechanisms of grid cells (Schmidt-Hieber & Hausser 2013),150291,"Schmidt-Hieber C, Häusser M",Cellular mechanisms of spatial navigation in the medial entorhinal cortex.,Nature neuroscience,2013,10.1038/nn.3340,,273,1,150291
